Medicamento;Enlace;Sintomas
Asenapina;https://medlineplus.gov/spanish/druginfo/meds/a610015-es.html;"La asenapina se usa para tratar los síntomas de la esquizofrenia (una enfermedad mental que provoca una alteración de los pensamientos o pensamientos fuera de lo común, pérdida de interés en la vida y emociones intensas o inapropiadas). La asenapina se usa solos o en combinación con otros medicamentos para tratar o prevenir episodios de manía (estado de ánimo anormalmente excitado y frenético) o manía mixta (estado de ánimo anormalmente excitado y frenético, y síntomas de depresión) en adultos y niños 10 años de edad y mayores con trastorno bipolar I (trastorno maníaco-depresivo; una enfermedad que provoca episodios de manía, episodios de depresión y otros estados de ánimo anormales). La asenapina pertenece a una clase de medicamentos llamados antipsicóticos atípicos. Actúa modificando la actividad de ciertas sustancias naturales en el cerebro."
Inyección de ofatumumab (leucemia linfocítica crónica);https://medlineplus.gov/spanish/druginfo/meds/a610009-es.html;"El ofatumumab también está disponible como una inyección (Kesimpta) que se utiliza para tratar la esclerosis múltiple (EM; una enfermedad en la que los nervios no funcionan correctamente, y las personas pueden experimentar debilidad, entumecimiento, pérdida de coordinación muscular y problemas con la visión, el habla y el control de la vejiga). Esta monografía solo proporciona información sobre la inyección de ofatumumab (Arzerra) para el tratamiento de la leucemia linfocítica crónica. Si recibe ofatumumab para la esclerosis múltiple, lea la monografía que tiene el título Inyección de ofatumumab (Esclerosis múltiple)."
Diclofenaco y Misoprostol;https://medlineplus.gov/spanish/druginfo/meds/a699002-es.html;La combinación de diclofenaco y misoprostol se usa para aliviar el dolor, la sensibilidad, la inflamación y la rigidez causadas por la osteoartritis (artritis causada por una ruptura en el revestimiento de las articulaciones) y artritis reumatoide (artritis causada por la inflamación del revestimiento de las articulaciones) en los pacientes que tienen alto riesgo de desarrollar úlceras estomacales. El diclofenaco pertenece a una clase de medicamentos llamados AINE. Funciona al detener la producción del cuerpo de una sustancia que causa dolor e inflamación. El misoprostol se encuentra en una clase de medicamentos llamados prostaglandinas. Este previene las úlceras causadas por el diclofenaco al proteger el revestimiento del estómago y disminuir la producción de ácido estomacal.
Arteméter y lumefantrina;https://medlineplus.gov/spanish/druginfo/meds/a609024-es.html;La combinación de arteméter y lumefantrina se utiliza para tratar ciertos tipos de infecciones por malaria (una infección grave que transmiten los mosquitos en ciertas partes del mundo y que puede provocar la muerte). El arteméter y lumefantrina no debe utilizarse para prevenir la malaria. El arteméter y lumefantrina pertenece a una clase de medicamentos llamados antimaláricos. Actúa eliminando los organismos que causan la malaria.
Morfina;https://medlineplus.gov/spanish/druginfo/meds/a682133-es.html;La morfina se usa para aliviar el dolor de moderado a fuerte. Las cápsulas y tabletas de liberación prolongada de morfina solo se usan para aliviar el dolor fuerte (todo el tiempo) que no se puede controlar con el uso de otros medicamentos analgésicos. Las cápsulas y tabletas de liberación prolongada de morfina solo deberían usarse para tratar el dolor que no se puede controlar con medicamento que se toma cuando es necesario. La morfina pertenece a una clase de medicamentos llamados analgésicos opiáceos (narcóticos). Funciona al cambiar la manera en que el cerebro y el sistema nervioso responden al dolor.
Trihexifenidilo;https://medlineplus.gov/spanish/druginfo/meds/a682160-es.html;"El trihexifenidilo se usa junto con otros medicamentos para tratar los síntomas de la enfermedad de Parkinson (Parkinson's disease, PD; un trastorno del sistema nervioso que causa dificultades con la movilidad, el control muscular y el equilibrio) y para controlar los síntomas extrapiramidales (temblores, dificultad para hablar) causados por determinados medicamentos. El trihexifenidilo pertenece a una clase de medicamentos llamados antimuscarínicos. Funciona relajando los músculos y los impulsos nerviosos que controlan la función de los músculos."
Nelarabina Inyectable;https://medlineplus.gov/spanish/druginfo/meds/a607077-es.html;La nelarabina se usa para tratar ciertos tipos de leucemia (cáncer que empieza en los glóbulos blancos) y linfoma (cáncer que comienza en las células del sistema inmunológico) que no han respondido al tratamiento o que reaparecen después del tratamiento con otros medicamentos. La nelarabina pertenece a una clase de medicamentos llamados antimetabolitos. Actúa destruyendo las células cancerosas.
Vacuna contra la COVID-19, ARNm (Moderna);https://medlineplus.gov/spanish/druginfo/meds/a621002-es.html;
Exemestane;https://medlineplus.gov/spanish/druginfo/meds/a607006-es.html;"Exemestane se usa para tratar el cáncer de seno en etapas tempranas en las mujeres que han experimentado la menopausia ('cambio de vida'; final de los períodos menstruales mensuales) y quienes ya han sido tratadas con un medicamento llamado tamoxifen (Nolvadex) por 2 a 3 años. Este medicamento también se usa para tratar el cáncer de seno en las mujeres que han experimentado la menopausia y cuyo cáncer del seno ha empeorado mientras tomaban el tamoxifen. Exemestane pertenece a una clase de medicamentos llamados inhibidores de aromatasa. Funciona al disminuir la cantidad de estrógenos producidos por el cuerpo. Esto puede retrasar o detener el crecimiento de algunos tumores del seno que necesitan estrógenos para crecer."
Vacuna de ARNm contra la COVID-19 (Pfizer-BioNTech);https://medlineplus.gov/spanish/druginfo/meds/a621003-es.html;
Tiroides;https://medlineplus.gov/spanish/druginfo/meds/a682475-es.html;La tiroides cuando se toma correctamente, la tiroides es usada para tratar los síntomas del hipotiroidismo (un trastorno en el que la glándula tiroides no produce suficiente hormona tiroidea). Los síntomas del hipotiroidismo incluyen falta de energía, depresión, constipación, aumento de peso, pérdida del cabello, piel seca, cabello grueso y seco, calambres musculares, disminución de la concentración, irritación y dolores, inflamación (hinchazón) de las piernas y aumento de la sensibilidad al frío. La tiroides también se usa para tratar el bocio (glándula tiroides agrandada). La tiroides pertenece a una clase de medicamentos llamados agentes tiroideos. Funciona al proveer la hormona tiroides que normalmente es producida por el cuerpo.
Inhalación oral de fluticasona;https://medlineplus.gov/spanish/druginfo/meds/a601056-es.html;La inhalación oral de fluticasona se utiliza para prevenir la dificultad para respirar, opresión en el pecho, sibilancia y tos ocasionada por asma en adultos y niños. Se encuentra en una clase de medicamentos llamados corticosteroides. La fluticasona trabaja disminuyendo la hinchazón e irritación en las vías respiratorias para permitir una respiración más fácil.
Armodafinilo;https://medlineplus.gov/spanish/druginfo/meds/a607067-es.html;"El armodafinilo se usa para tratar la somnolencia excesiva ocasionada por la narcolepsia (una afección que provoca somnolencia excesiva durante el día) o el trastorno del sueño del trabajo por turnos (somnolencia durante las horas programadas de vigilia y dificultad para dormirse o permanecer dormido durante las horas de sueño en personas que trabajan por la noche o trabajan turnos rotativos). El armodafinilo se usa también junto con dispositivos respiratorios u otros tratamientos para prevenir la somnolencia excesiva a causa del síndrome de apnea-hipopnea obstructiva del sueño (OSAHS, por sus siglas en inglés; un trastorno del sueño en el que el paciente deja de respirar brevemente o respira de manera superficial muchas veces durante el sueño y por ello no tiene un sueño reparador). El armodafinilo pertenece a una clase de medicamentos llamados agentes promotores del estado de vigilia. Actúa alterando las cantidades de ciertas sustancias naturales presentes en el área del cerebro que controla el sueño y la vigilia."
Inhalación Oral de Isoetarina;https://medlineplus.gov/spanish/druginfo/meds/a682862-es.html;La isoetarina se usa para prevenir o aliviar el resoplo (respiración con silbido), la disnea (respiración entrecortada) y la dificultad para respirar, todos síntomas provocados por el asma, la bronquitis crónica y el enfisema. Funciona al relajar y abrir las vías respiratorias, facilitando la respiración.
Triamcinolona tópica;https://medlineplus.gov/spanish/druginfo/meds/a601124-es.html;La triamcinolona tópica se usa para tratar la picazón,, enrojecimiento, resequedad, costras, descamación, inflamacióny las molestias ocasionadas por diferentes enfermedades de la piel, incluyendo psoriasis (una enfermedad de la piel en la cual se forman parches rojos y escamosos en algunas áreas del cuerpo) y eccema (una enfermedad de la piel que hace que la piel se seque y pique y, algunas veces, provoca sarpulllidos rojos y escamosos). También se utiliza como una pasta dental para aliviar la incomodidad de las aftas en la boca. La triamcinolona pertenece a una clase de medicamentos llamados corticoesteroides. Funciona al activar las sustancias naturales en la piel para reducir la hinchazón, el enrojecimiento y la picazón.
Fondaparinux inyectable;https://medlineplus.gov/spanish/druginfo/meds/a612026-es.html;"El fondaparinux inyectable se usa para prevenir la trombosis venosa profunda (DVT, por sus siglas en inglés; un coágulo de sangre, por lo general, en la pierna), que puede provocar embolia pulmonar (PE, por sus siglas en inglés; un coágulo de sangre en el pulmón) en personas que se someten a una cirugía de cadera, a un reemplazo de cadera o rodilla, o a una cirugía abdominal. También se usa junto con warfarina (Coumadin, Jantoven) para tratar la DVT o PE. El fondaparinux inyectable pertenece a una clase de medicamentos denominados inhibidores del factor Xa. Actúa disminuyendo la capacidad de coagulación de la sangre."
Triamcinolona;https://medlineplus.gov/spanish/druginfo/meds/a601122-es.html;"La triamcinolona es un corticosteroide, es decir, es similar a una hormona natural producida por sus glándulas suprarrenales. A menudo se usa para reemplazar esta sustancia química cuando el cuerpo no fabrica suficiente. Alivia la inflamación (hinchazón, calor, enrojecimiento y dolor) y se usa para tratar ciertas formas de artritis; enfermedades a la piel, sangre, riñón, ojos, tiroides y trastornos intestinales (por ejemplo, colitis); alergias severas; y asma. La triamcinolona también se usa para tratar ciertos tipos de cáncer."
Donepezilo;https://medlineplus.gov/spanish/druginfo/meds/a697032-es.html;"El donepezilo es usado para tratar la demencia (un trastorno cerebral que afecta la capacidad de recordar, pensar con claridad, comunicarse y realizar las actividades diarias, y puede causar cambios en el estado de ánimo y la personalidad) en personas que tienen la enferma de Alzheimer (AD, por su sigla en inglés; una enfermedad cerebral que lentamente destruye la memoria y la capacidad de pensar, aprender, comunicarse y realizar las actividades diarias). El donepezilo pertenece a una clase de medicamentos llamados inhibidores de la colinesterasa. Mejora las funciones mentales (como la memoria, atención, la capacidad de interactuar con otros, hablar, pensar con claridad y realizar activida diaria regular) al incrementar la cantidad de ciertas sustancias que naturalmente se producen en el cerebro. El donepezilo puede mejor la capacidad de pensar y recordar, o retrasar la pérdida de las referidas capacidades en personas que tienen la enfermedad de Alzheimer. Sin embargo, el donepezilo no cura esta enfermedad ni previene la pérdida de las habilidades mentales en algún momento en el futuro."
Salsalato;https://medlineplus.gov/spanish/druginfo/meds/a682880-es.html;El salsalato se usa para aliviar el dolor leve, para reducir la fiebre, y para aliviar el dolor y la inflamación provocados por la artritis u otras afecciones inflamatorias.
Inhalación oral de indacaterol ;https://medlineplus.gov/spanish/druginfo/meds/a612014-es.html;La inhalación de indacaterol se usa para tratar las sibilancias,  dificultad para respirar, tos y opresión en el pecho causados por la  enfermedad pulmonar obstructiva crónica  (EPOC, un grupo de enfermedades que afectan los pulmones y las vías respiratorias, que incluye la bronquitis crónica y el enfisema). El indacaterol pertenece a una clase de medicamentos llamados agonistas beta de acción prolongada (LABA). Funciona al relajar y abrir las vías respiratorias en los pulmones, lo que facilita la respiración.
Darbepoetina alfa inyectable;https://medlineplus.gov/spanish/druginfo/meds/a604022-es.html;La darbepoetina alfa inyectable se usa para tratar la anemia (cantidad de glóbulos rojos menor que la normal) en personas con insuficiencia renal crónica (afección en la que los riñones dejan de funcionar, en forma lenta y permanente, a lo largo de un determinado período). La darbepoetina alfa inyectable también se usa para tratar la anemia causada por la quimioterapia en personas con determinados tipos de cáncer. La darbepoetina alfa no puede usarse para reemplazar una transfusión de glóbulos rojos a fin de tratar la anemia grave, y no se ha demostrado que mejore el cansancio o el malestar que pueden ser causados por la anemia. La darbepoetina alfa pertenece a una clase de medicamentos llamados agentes estimulantes de la eritropoyesis (ESA, por sus siglas en inglés). Actúa estimulando la producción de más glóbulos rojos por parte de la médula ósea (el tejido blando del interior de los huesos, donde se produce la sangre).
Citarabina;https://medlineplus.gov/spanish/druginfo/meds/a682222-es.html;La citarabina se usa sola o con otros medicamentos usados en la quimioterapia para tratar determinados tipos de leucemia (cáncer de glóbulos blancos), incluidas leucemia mieloide aguda (AML, por sus siglas en inglés), leucemia linfocítica aguda (ALL, por sus siglas en inglés) y leucemia mielógena crónica (CML, por sus siglas en inglés). La citarabina también se usa sola o con otros medicamentos usados en la quimioterapia para tratar la leucemia meníngea (cáncer en la membrana que recubre y protege la médula espinal y el cerebro). La citarabina pertenece a una clase de medicamentos llamados antimetabolitos. Actúa retardando o deteniendo el crecimiento de las células cancerosas en el cuerpo.
Tafenoquina;https://medlineplus.gov/spanish/druginfo/meds/a618050-es.html;La tafenoquina (Krintafel) se utiliza para prevenir el regreso de la malaria (una infección grave que se contagia por medio de los mosquitos en algunas partes del mundo y puede causar la muerte) en personas  de 16 años de edad y mayores que están infectadas y actualmente reciben cloroquina o hidroxicloroquina para tratar la malaria. La tafenoquina (Arakoda) se utiliza solo para prevenir la malaria en viajeros que visitan áreas donde la malaria es común. La tafenoquina pertenece a una clase de medicamentos llamados antimaláricos. Trabaja al matar los organismos que pueden ocasionar la malaria.
Meticlotiazida;https://medlineplus.gov/spanish/druginfo/meds/a682569-es.html;"La meticlotiazida se utiliza para tratar la hipertensión arterial. La meticlotiazida también se usa para tratar el edema (retención de líquido; exceso de líquido retenido en los tejidos corporales) causado por varios problemas médicos, incluyendo el corazón, el riñón y enfermedades del hígado y para tratar el edema causado por el uso de ciertos medicamentos, incluyendo estrógeno y corticosteroides. La meticlotiazida pertenece a una clase de medicamentos que se llaman diuréticos ('píldoras de agua'). Funciona provocando la eliminación por el riñón, a través de la orina, del agua y de sal innecesarias en el cuerpo."
Leflunomida;https://medlineplus.gov/spanish/druginfo/meds/a600032-es.html;La leflunomida se usa sola o en combinación con otros medicamentos para tratar la artritis reumatoide (una afección en la que el cuerpo ataca sus propias articulaciones, lo que provoca dolor, inflamación y pérdida de la función). La leflunomida pertenece a una clase de medicamentos llamados medicamentos antirreumáticos modificadores de la enfermedad (DMARD, por sus siglas en inglés).  Actúa disminuyendo la inflamación y enlenteciendo el progreso de la afección, lo que puede ayudar a mejorar la actividad física de personas con artritis reumatoide.
Hidrato de cloral;https://medlineplus.gov/spanish/druginfo/meds/a682201-es.html;El hidrato de cloral, un sedante, se usa en el tratamiento a corto plazo del insomnio (para ayudar a quedarse y permanecer dormido para obtener un descanso adecuado) y para aliviar la ansiedad e inducir el sueño antes de una operación quirúrgica. También se usa después de la cirugía para el dolor y para tratar los síntomas de la abtinencia del alcohol.
Eslicarbazepina;https://medlineplus.gov/spanish/druginfo/meds/a614032-es.html;La eslicarbazepina se utiliza en combinación con otros medicamentos para controlar las convulsiones focales (parciales) (convulsiones que afectan solo una parte del cerebro). La eslicarbazepina se encuentra en una clase de medicamentos llamados anticonvulsivos. Funciona al reducir la exaltación anormal en el cerebro. 
Mesalamina;https://medlineplus.gov/spanish/druginfo/meds/a688021-es.html;La mesalamina se usa para tratar colitis ulcerativa (una condición que provoca inflamación y lesiones en el recubrimiento del colon [intestino grueso] y recto) y también para mantener la mejora de los síntomas de la colitis ulcerativa. La mesalamina se encuentra en una clase de medicamentos llamados agentes antiinflamatorios. Funciona al evitar que el cuerpo produzca cierta sustancia que puede provocar inflamación.
Aprepitant;https://medlineplus.gov/spanish/druginfo/meds/a604003-es.html;El aprepitant se usa con otros medicamentos en adultos y niños de 6 meses de edad y mayores para prevenir la náusea y los vómitos que podrían presentarse después de haber recibido quimioterapia para el cáncer. También se utiliza con otros medicamentos en adultos y niños de 6 meses de edad y mayores para prevenir la náusea y los vómitos tardíos que podrían ocurrir varios días después de recibir determinados medicamentos de quimioterapia. El aprepitant no se usa para el tratamiento de la náusea y los vómitos que ya tiene.  El Aprepitant pertenece a una clase de medicamentos llamados antieméticos. Funciona al bloquear la acción de la neuroquinina, una sustancia natural en el cerebro que causa náuseas y vómitos.
Tipranavir;https://medlineplus.gov/spanish/druginfo/meds/a606009-es.html;El tipranavir también se usa con ritonavir (Norvir) y otros medicamentos para tratar la infección del virus de inmunodeficiencia humana (VIH). El tipranavir pertenece a una clase de medicamentos conocidos como inhibidores de la proteasa. Este funciona al disminuir la cantidad de VIH en la sangre. Aunque el tipranavir no curará el VIH, puede reducir su probabilidad de desarrollar el síndrome de inmunodeficiencia adquirida (SIDA) y enfermedades relacionadas con el VIH como graves infecciones o cáncer. Tomar estos medicamentos junto con relaciones sexuales seguras y hacer otros cambios en el estilo de vida pueden disminuir el riesgo de transmitir el virus del VIH a otras personas.
Hidralazina;https://medlineplus.gov/spanish/druginfo/meds/a682246-es.html;Hidralazina se usa para tratar la hipertensión arterial. La hidralazina se encuentra en una clase de medicamentos llamados vasodilatadores. Trabaja mediante la relajación de los vasos sanguíneos para que la sangre pueda fluir más fácilmente a través del cuerpo.
Apremilast;https://medlineplus.gov/spanish/druginfo/meds/a614022-es.html;Apremilast se usa para tratar la artritis psoriásica (una condición que provoca dolor e inflamación de las articulaciones y escamas en la piel). También se usa para tratar psoriasis en placas de moderada a grave (una enfermedad de la piel en la cual se forman parches rojos y escamosos en algunas áreas del cuerpo) en personas que pueden beneficiarse de medicamentos o la fototerapia (un tratamiento que implica exponer la piel a la luz ultravioleta). El apremilast se usa para tratar úlceras de la boca en personas que padecen del síndrome de Behcet (un trastorno que causa inflamación de los vasos sanguíneos en el cuerpo). El apremilast se encuentra en una clase de medicamentos llamados inhibidores de la fosfodiesterasa. Funciona bloqueando la acción de ciertas sustancias naturales del cuerpo que causan inflamación.
Apraclonidina oftálmica;https://medlineplus.gov/spanish/druginfo/meds/a608005-es.html;Las gotas para los ojos (oftálmicas) de apraclonidina al 0.5% se usan para el tratamiento de corto plazo del glaucoma (una afección que puede dañar el nervio óptico y causar ceguera, por lo general debido al aumento de la presión en el ojo) en personas que están tomando otros medicamentos para esta enfermedad y aún tienen alta la presión ocular. Las gotas oftálmicas de apraclonidina al 1% se usan para prevenir o reducir el aumento de la presión en el ojo durante y después de ciertos tipos de cirugía de los ojos con láser. La apraclonidina pertenece a una clase de medicamentos llamados agonistas alfa-2-adrenérgicos. Reduce la presión en el ojo disminuyendo la cantidad de líquido que se forma dentro de éste.
Apixaban;https://medlineplus.gov/spanish/druginfo/meds/a613032-es.html;"Apixaban se usa para prevenir apoplejías o coágulos de sangre en personas que tienen fibrilación atrial (una condición en la que el corazón late de manera irregular, aumentando la probabilidad de que se formen coágulos en el cuerpo y posiblemente ocasionar accidentes cerebrovasculares) que no es causada por la enfermedad de la válvula del corazón. El apixaban también se usa para prevenir trombosis venosa profunda (deep vein thrombosis, DVT; un coágulo de sangre, usualmente en la pierna) y embolia pulmonar (pulmonary embolism, PE; un coágulo de sangre en el pulmón) en personas a las que se les practicará una cirugía de reemplazo de cadera o de rodilla. El apixaban también se usa para DVT y PE y puede ser continuado para prevenir DVT y PE de reoccurir después del termino de tratamiento iniciál. El apixaban pertenece a una clase de medicamentos llamados inhibidores de Xa. Funciona bloqueando la acción de cierta sustancia natural que ayuda a formar los coágulos de sangre."
Apomorfina sublingual;https://medlineplus.gov/spanish/druginfo/meds/a620044-es.html;"La apomorfina sublingual se usa para tratar los episodios ""inactivos"" (momentos en los que al paciente se le dificulta moverse, caminar y hablar y que podrían pasar al azar o a medida que el efecto del medicamento desaparece) en personas con enfermedad de Parkinson avanzada (EP; un trastorno del sistema nervioso que causa dificultades con la movilidad, el control muscular y el equilibrio). La apomorfina pertenece a una clase de medicamentos llamados agonistas de dopamina. Funciona al actuar en lugar de la dopamina, una sustancia natural que se produce en el cerebro y se necesita para controlar los movimientos."
Inyección de apomorfina;https://medlineplus.gov/spanish/druginfo/meds/a604020-es.html;"La inyección de apomorfina se usa para tratar los episodios en los que el medicamento no ha hecho efecto o ha pasado el efecto (momentos en los que al paciente se le dificulta moverse, caminar y hablar y que podrían pasar al azar o a medida que el efecto del medicamento desaparece) en personas con la enfermedad de Parkinson avanzada (Parkinson's disease, PD; un trastorno del sistema nervioso que causa dificultades con la movilidad, el control muscular y el equilibrio) que están tomando medicamentos para su condición.  La inyección de apomorfina pertenece a una clase de medicamentos llamados agonistas. Funciona al actuar en lugar de la dopamina, una sustancia natural que se produce en el cerebro y se necesita para controlar los movimientos."
Insulina glulisina (origen ADNr) inyectable;https://medlineplus.gov/spanish/druginfo/meds/a607033-es.html;La insulina glulisina se usa para tratar la diabetes tipo 1 (afección en la que el cuerpo no produce insulina y, por lo tanto, no puede controlar la cantidad de azúcar en la sangre). También se usa para tratar a las personas con diabetes tipo 2 (afección en la que las concentraciones de azúcar en la sangre son demasiado altas porque el cuerpo no produce o no usa la insulina normalmente) que necesitan insulina para controlar la diabetes. En pacientes con diabetes tipo 1, la insulina glulisina se usa generalmente con otro tipo de insulina, a menos que se use en una bomba de insulina externa. En los pacientes con diabetes tipo 2, la insulina glulisina también puede usarse con otro tipo de insulina o con medicamento(s) oral(es) para la diabetes. La insulina glulisina es una versión artificial de la insulina humana de acción corta. La insulina glulisina actúa reemplazando la insulina que produce normalmente el cuerpo y ayudando a pasar el azúcar de la sangre a otros tejidos del cuerpo, donde se usa para obtener energía. También evita que el hígado produzca más azúcar.
Bupropion;https://medlineplus.gov/spanish/druginfo/meds/a695033-es.html;"Bupropion (Aplenzin, Wellbutrin, Wellbutrin SR, Wellbutrin XL) se utiliza para tratar la depresión. Bupropion (Aplenzin, Wellbutrin XL) se utiliza para tratar el trastorno afectivo temporal (SAD, por sus siglas en inglés); episodios de depresión que ocurren al mismo tiempo cada año [usualmente en el otoño y el invierno, pero rara vez puede ocurrir en los meses de primavera o verano]). Bupropion (Zyban) se usa para ayudar a las personas a dejar de fumar. El bupropion pertenece a una clase de medicamentos llamados antidepresivos. Funciona al aumentar cierto tipo de actividad en el cerebro."
Inyección de penicilina G procaína;https://medlineplus.gov/spanish/druginfo/meds/a615052-es.html;La inyección de penicilina G procaína se usa para tratar algunas infecciones provocadas por bacterias. La inyección de penicilina G procaína no se debe usar para tratar gonorrea (una enfermedad de transmisión sexual) o en el tratamiento temprano de ciertas infecciones graves. La inyección de penicilina G procaína pertenece a una clase de medicamentos llamados penicilinas. Funciona matando las bacterias que causan infecciones.
Apalutamide;https://medlineplus.gov/spanish/druginfo/meds/a618018-es.html;El apalutamide se usa para tratar ciertos tipos de cáncer de próstata (cáncer en los hombres que comienza en la próstata [una glándula reproductora masculina]) y se ha propagado a otras partes del cuerpo o que no se ha propagado a otras partes del cuerpo pero no ha mejorado con otros tratamientos médicos. El apalutamide pertenece a una clase de medicamentos denominados inhibidores del receptor de andrógenos. Su acción consiste en bloquear los efectos del andrógeno (una hormona reproductiva masculina) para detener el crecimiento y la propagación de las células del cáncer.
Benzidrocodona y acetaminofeno;https://medlineplus.gov/spanish/druginfo/meds/a620007-es.html;La combinación de benzidrocodona y acetaminofeno se usa para aliviar el dolor agudo (dolor que empieza repentinamente, tiene una causa específica y se espera que desaparezca cuando la causa del dolor se sane) que no puede aliviarse con otros analgésicos no opioides. La benzidrocodona pertenece a una clase de medicamentos llamados analgésicos opiáceos (narcóticos). Actúa cambiando la manera en que el cerebro y el sistema nervioso responden al dolor. El acetaminofeno pertenece a una clase de medicamentos llamados analgésicos y antipiréticos (reductores de la fiebre). Cuando el acetaminofeno se usa en combinación con benzidrocodona para tratar el dolor, actúa cambiando la forma en que el cuerpo percibe el dolor.
Dolasetrón inyectable;https://medlineplus.gov/spanish/druginfo/meds/a601214-es.html;El dolasetrón inyectable se usa para prevenir y tratar las náuseas y los vómitos que pueden producirse después de una cirugía. El dolasetrón inyectable no debe usarse para prevenir o tratar las náuseas y los vómitos en las personas que reciben medicamentos de quimioterapia contra el cáncer. El dolasetrón pertenece a una clase de medicamentos llamados antagonistas del receptor de la serotonina 5-HT
Dolasetrón;https://medlineplus.gov/spanish/druginfo/meds/a601001-es.html;El dolasetrón se usa para prevenir las náuseas y los vómitos provocados por la quimioterapia contra el cáncer. El dolasetrón pertenece a una clase de medicamentos llamados antagonistas del receptor de la serotonina 5-HT
Antipirina y Benzocaína Ótica;https://medlineplus.gov/spanish/druginfo/meds/a607073-es.html;La antipirina y benzocaína ótica se usa para aliviar el dolor y la inflamación ocasionados por las infecciones del oído medio. Se puede usar junto con antibióticos para tratar una infección del oído. También se usa para ayudar a eliminar la acumulación de cera en el oído. La antipirina y benzocaína pertenecen a una clase de medicamentos llamados analgésicos. La combinación de antipirina y benzocaína actúa calmando el dolor y las molestias en el oído.
Hidrocortisona rectal;https://medlineplus.gov/spanish/druginfo/meds/a617001-es.html;La hidrocortisona rectal se usa junto con otros medicamentos para tratar la proctitis (inflamación en el recto) y colitis ulcerativa (una condición que provoca inflamación y lesiones en el recubrimiento del colon [intestino grueso] y recto). También se usa para aliviar la picazón e inflamación ocasionada por las hemorroides y otros problemas rectales. La hidrocortisona se encuentra en una clase de medicamentos llamados corticosteroides. Funciona al activar las sustancias naturales en la piel para reducir la hinchazón, el enrojecimiento y la picazón.
Sulfinpirazona;https://medlineplus.gov/spanish/druginfo/meds/a682339-es.html;La sulfinpirazona se usa para tratar la artritis gotosa. Funciona al bajar la cantidad de ácido úrico en la sangre, previniendo los ataques de gota. El medicamento ayuda a prevenir los ataques, pero no aliviará un ataque una vez que ha comenzado.
Meclizina;https://medlineplus.gov/spanish/druginfo/meds/a682548-es.html;La meclizina se usa para prevenir y tratar las náuseas, los vómitos y el mareo causado por la sensación de vértigo. Es más eficaz si se toma antes de que aparezcan los síntomas.
Pirantel;https://medlineplus.gov/spanish/druginfo/meds/a682820-es.html;El pirantel, un medicamento lombricida, se usa para tratar los casos de parasitosis por lombrices instestinales (nematodos), uncinarias (anquilostoma), oxiuros y otro tipo de parásitos.
Anticonceptivos orales que solo contienen progestina (noretindrona);https://medlineplus.gov/spanish/druginfo/meds/a602008-es.html;Los anticonceptivos orales que solo contienen progestina (noretindrona) se utilizan para prevenir el embarazo. La progestina es una hormona femenina. Su acción consiste en prevenir la liberación de óvulos de los ovarios (ovulación) y cambiar la mucosidad cervical y el revestimiento del útero. Los anticonceptivos orales que solo contienen progestina (noretindrona) son un método anticonceptivo muy eficaz, pero no impiden la propagación del SIDA y otras enfermedades de transmisión sexual.
Anticonceptivos orales que solo contienen progestina (drospirenona);https://medlineplus.gov/spanish/druginfo/meds/a621011-es.html;Los anticonceptivos orales que solo contienen progestina (drospirenona) se utilizan para prevenir el embarazo. La progestina es una hormona femenina. Su acción consiste en prevenir la liberación de óvulos de los ovarios (ovulación) y cambiar la mucosidad cervical y el revestimiento del útero. Los anticonceptivos orales que solo contienen progestina son un método anticonceptivo muy eficaz, pero no previenen la propagación del virus de inmunodeficiencia humana [VIH, el virus que causa el síndrome de inmunodeficiencia adquirida (SIDA)] y otras enfermedades de transmisión sexual.
Anticonceptivo vaginal de ácido láctico, ácido cítrico y bitartrato de potasio;https://medlineplus.gov/spanish/druginfo/meds/a620047-es.html;La combinación de ácido láctico, ácido cítrico y bitartrato de potasio se usa para prevenir el embarazo cuando se usa justo antes del sexo vaginal en mujeres que pueden quedar embarazadas. No previene el embarazo cuando se usa después del sexo vaginal. La combinación de ácido láctico, ácido cítrico y bitartrato de potasio pertenece a una clase de medicamentos llamados anticonceptivos no hormonales. Su acción consiste en bajar el pH de la vagina y reducir la motilidad del esperma. El ácido láctico, ácido cítrico y bitartrato de potasio puede evitar un embarazo, pero no evitará el contagio del virus de inmunodeficiencia humana (VIH, el virus que ocasiona el síndrome de inmunodeficiencia adquirida [SIDA]) y otras enfermedades de transmisión sexual.
Fenofibrato;https://medlineplus.gov/spanish/druginfo/meds/a601052-es.html;"El fenofibrato se usa junto con una dieta baja en grasas, ejercicio, y, a veces, con otros medicamentos para reducir las cantidades de sustancias grasas, como colesterol y triglicéridos, en la sangre y para aumentar la cantidad de HDL (lipoproteínas de alta densidad; un tipo de sustancia grasa que disminuye el riesgo de enfermedad del corazón) en la sangre. La acumulación de colesterol y grasas en las paredes de las arterias (un proceso conocido como aterosclerosis) disminuye el flujo de sangre y, por lo tanto, la oxigenación del corazón, del cerebro y de otras partes del cuerpo. Esto aumenta el riesgo de enfermedad del corazón, angina (dolor en el pecho), derrame cerebral y ataque cardíaco. Si bien el fenofibrato reduce los niveles de sustancias grasas en la sangre, no se ha demostrado que reduzca el riesgo de padecer ataques cardíacos o derrames cerebrales. El fenofibrato pertenece a una clase de medicamentos llamados agentes antilipémicos. Actúa al acelerar los procesos naturales que eliminan el colesterol del cuerpo."
