,Title,Body,Rating
48,"
Excellent portable monitor
","

  Going in I wasn't expecting much from this monitor.  However, I was pleasantly surprised. It works great with my Nintendo Switch! The screen is nice and vibrant with no dead pixels.  Case is great and even detachable.  Comes with all cables necessary to connect to your consoles or laptop.  The only things I would change is the volume on the monitor is a bit low and the power cable is short.  Not deal breakers though as you can buy longer USB-A to USB-C cables and I use a headset for my sound anyway.  For the price, this is an excellent buy!

",5.0
49,"
This is a fantastic portable monitor.
","

  If you are looking for a slim, light weight, and sleek looking portable monitor, look no further. The KYY 15.6in portable monitor is for you. All the cables you will need you need for it are in the box as well. (I included a photo showing what comes the box)They also included a screen protector and magnetic folding case. The only tiny issue I had was that the screen protector was a little difficult to install, but after working with it for a bit I got it put on. This portable monitor does not have an internal battery though. I was not looking for that but it was just something I thought I should mention. It is powered by using the USB-c cable plugged into your device or you can plug it into the wall. The wall adapter is included. Thank you again for the great product.

",5.0
50,"
Monitor stand collapses easily, not very sturdy
","

  I gave this 4 stars because the monitor itself is great and a good price. The stand that comes with it is flimsy and collapses easily which makes the monitor fall down and that is irritating. I am probably going to buy a better stand for this monitor because I don't want the monitor to get damaged.

",4.0
51,"
Just avoid it
","

  Nice design but it simply does not work. I was excited to try tho monitor out as I have a large gaming laptop and wanted a decent size second screen for when I am away from home. This screen work well the first 3 times and then would lose signal intermittently. It also had a dim image even with the brightness set at 100. It then would not connect at all. I tried switching between the USB C and the mini HDMI to no avail. The monitor just stopped recognizing the video signal l. Switched to the ASUS MB169B+ and have not had an issue. Definitely go with the name brand. Not worth the frustration.

",1.0
52,"
Works better than expected
","

  The monitor is plug and play for the most part. I use it with a 2019 MBP, and I just use the one USB C cable between the laptop and the monitor.My only complaint is that the settings are reset every time the computer goes to sleep. The monitor is plenty bright when set to 90%. Unfortunately, every time my laptop goes to sleep and the monitor turns off....it resets to 50% brightness.

",4.0
53,"
Seems to be what I need.
","

  My first experience with a portable monitor.  Seems to work fine. The screen protector provided is impossible to mount properly, but the bubbles do not show when monitor is powered up.  The protective folder/cover seems great for protecting the device, but as a stand, it leaves a bit to be desired.  It works, and maybe I'll get used to it, but takes a couple of tries to get it set up properly.

",5.0
54,"
Good Value
","

  Picture quality is crisp, super easy setup. I use it to work remote and when I'm traveling. Very lightweight and thin, slides right into my laptop bag. Comes with the necessary cords. Would recommend for business and travel.Nice that it came with a full screen protector, though it was tough to get on cleanly. Usually I'm very careful with these but still came out with a few small bubbles. Not very noticeable when in use.

",5.0
55,"
Love this portable display - exactly as advertised!
","

  I work from home and was looking for a portable display I could take with me to work away from home. This display is awesome! It's easy to set up and the picture quality is great. The speakers are decent but not quite as loud as the ones on my laptop, I have tried it on three different laptops with different connection types and all worked flawlessly. My Asus has a USB-C for power, but not display so I used the USB-C cable or the power block and the HDMI cable (I needed an HDMI micro to HDMI adapter because my laptop does not have a full-sized HDMI port, but I had one and it works great. My wife's HP has a full-function  USB-C port and connected with one cable. My Macbook Pro that I use for work was the same one cable connection. It's really light weight, but feels solidly made. I love it and bought two on Prime Day, one for me and one for my wife. Highly recommended.

",5.0
56,"
Plug Into Laptop and Voila!
","

  So far, so good! I bought this to use with my laptop for the few occasions I have to bring some work home. I simply plug it into my laptop and it works. I've been quite pleased with its ease of use. It provides the second screen I need without any sort of elaborate setup. I'm not doing any sort of high-tech work, so the color and brightness are not super important for me.

",5.0
57,"
Perfect for school- Surface Pro 7
","

  The picture quality is wonderful. We are using this for PA school. We had an issue with a faulty cord and I got a new one 3 days after notifying customer service. They were so easy to work with. We use it with our surface pro 7 and it hooks up with 1 cord, so easy for on the go studying. We also tried it with my Nintendo switch and it worked wonders. The only downside is the volume isn’t that loud on the monitor, but our computer volume is fine.

",5.0
58,"
Easy to use
","

  I was a little worried when ordering a portable monitor sight unseen but I have to say I was pleased with it's easy hook-up to my Dell laptop. I plugged it in using HDMI and USB-C power supply and presto the screened turned on with beautiful resolution. The price was right and so I am very happy with my purchase. It is light weight and fits in my carryon suitcase between my clothes perfectly. The customer service response when asking questions about the unit was timely. So far, so good on all points. It's a keeper.

",5.0
59,"
Great customer service
","

  The monitor works really well. It is great for gaming and my wife loves using it as her second monitor when working from home. On top of a great prouduct they have a great customer service team. My monitor cracked (my fault) after the return policy from amazon and I had reached out to KYY’s customer service. Kathy and Linda provided excellent customer service through email and have sent me a new replacement that will come in within the next few days. If something ever happens to your product and it is past the amazon return policy, I would Suggest you contact their customer service. They may end up replacing yours like they did mine. Also they have a great 12 month warranty already.

",5.0
60,"
Worked great at first then just stopped working correctly.
","

  I missed window to return monitor. It initial worked amazing, wire for connection for power and to computer cheap. Due to them being not flexible and causing them to twist. Believe the wires may have twisted causing monitor to flicker. Attempted to return, but missed window. Decided to try to find other cords which worked for short time. Then started flickering. Tonight the monitor finally just started flicker thought full screen colors and unable to reset. Would probably be fine if you didn’t have to travel with it, but didn’t last ... now on my third portable monitor attempt.

",3.0
61,"
Very Mediocre - Poor Sound, Average Quality
","

  This device definitely achieves what it is supposed to, but after 20 minutes of using it it became clear that it is very mediocre. The screen quality is very average, and the controls to use it aren't intuitive. It's a shame that the USB-C ports are only on one side, having them on both sides would be really helpful to make the monitor placement flexible. The biggest flaw I noticed was the sound - it sounded super muffled even at max volume.When compared to other portable monitors on the market, I do still recommend this but only if you ABSOLUTELY need a second display. I definitely wouldn't use this for gaming, it would only be for productivity if I really can't get by without a second screen.

",2.0
62,"
Great monitor
","

  This monitor is great. It works great and is simple to setup. Everything you need is right in the box, including the power cord and brick, as well the usb-c to usb-c cable and the mini-HDMI to HDMI cables. This monitor works well with samsung dex as well as extending desktop space for laptops. This does well for my Samsung phones and my laptop. I highly recommend this monitor.

",5.0
63,"
Excellent build and Picture quality.
","

  I install P.O.S. systems, credit card terminals and integrated high end security cameras. I was looking for a good quality portable monitor that I could attach to computer systems that do not have monitors.I was impressed at the overall build and display quality. I definitely will be ordering another for my other technicians.

",5.0
64,"
IMPRESSIVE!!
","

  Wowzers what an amazing value! Looks to be a solid, very well made monitor. I’m excited to give it a try on my next travels. Will be using it mainly for work as an extra screen to my laptop, but also looking forward to watching some movies on it under the stars with my Hubby! Thank you for a quality product! 👏🏻👏🏻👏🏻

",5.0
65,"
Sleek and Easy to Use
","

  I ordered this monitor as a dual work monitor while traveling. It takes about 30 seconds to set up and I didn't even need to read the instructions. The package comes with all the necessary cords as well as a screen protector. It's also very light weight for how large the monitor is. As a layman, I can't really speak to the picture or screen quality but it serves its function quite nicely as a travel dual monitor. The best part is, my boyfriend ordered the same monitor and had some issues with his product and they sent a replacement one right away. The customer service is A+!

",5.0
66,"
The Monitor is Great
","

  The fact I can now extend my laptop desktop on the road is a God Send. Thank you KYY!I will say however, the box was received with both tamper seals broken and that was cause for concern that was soon forgotten once I powered the Monitor up, saw my desktop and successfully operated the Monitor OSD.

",5.0
67,"
Sharp and clear
","

  Due to eye issues, I do well with laptop screens and cannot use massive 24"" monitors that distort the sharpness and clarity of the screen and I needed a monitor for my work cpu and this has been perfect.  The size and clarity of the picture is just what I needed, not to mention the ease of portability.

",5.0
68,"
Large screen, crystal clear- very happy with the purchase
","

  I was pleasantly surprised to see that the size and clarity of the monitor was so good!  Unboxing was easy, came with a cover, lots of wires and screen protector.I am very excited to start using it as it will help a ton for when I return to work and need the extra monitor, or am visiting a client.  Great investment!

",5.0
69,"
Great Monitor!
","

  This is a 15.6 advanced IPS screen monitor with excellent color rendering ability. With its 1920*1080 breathtaking viewing quality and HDR, it provides better performance than my laptop monitor (photos show).Portable and very light, you could carry it with your laptop everywhere. There is already a Mini-HDMI line in the box and you don't have to buy another one.Overall, I am very satisfied with the product.

",5.0
70,"
Appears nice but not compatible
","

  I was very excited to get this monitor.  However, it is not compatible with ACER laptops. I worked with the Amazon tech who told me it doesn't work with ACER laptops.  It looks nice and feels sturdier than my cheap work monitor.  I'm very disappointed that I will have to return it and settle for something else.

",4.0
71,"
Great screen for the price but lacking advertised features
","

  Amazing little screen for the price, I did want give it 5 stars but its advertises HDR capabilities but in fact it is not hdr compatible *hence why i bought the product* it mimics the HDR function which sucks tremendously!! The speaker also sucks unless you have an external speaker you will not enjoy sound from this, that being said it is great as a temp or portable monitor but go on to it with low expectations.

",4.0
72,"
Easy to set up and use!
","

  I purchased this during Amazon Prime Days and I am happy I did. I have used this items several times when I am traveling for work.  I was skeptical because it was not a HUGE electronics brand. I am glad I bought it! Not only was it easy to use and set up with my laptop but it is the perfect screen size too. So far, I'm very impressed with this portable monitor. The picture is clear and the monitor is thin and easy to transport. It came with great instructions and all of the required cords.  I even told all of my family and friends about it!

",5.0
73,"
GREAT !
","

  My son has been begging for a portable monitor for months for gaming ! I finally decided to purchase one for his birthday ! I researched, read reviews and watched prices for awhile before making a decision to purchase this monitor. He was absolutely estatic when he opened it up and has been great for gaming (great picture quality) AND his distance learning ! His siblings have even used it for school zoom meetings as well ! Very happy with this purchase and the price !

",5.0
74,"
Excellent option for external monitor
","

  I have the new MacBook Pro with the M1 chip and it wasn't doing well with my old VGA external monitor connected via a usb-c converter - if I left it plugged in, I'd come back to a dead laptop.  This portable monitor is large, bright, easy to connect, and I'm so excited about the possibilities of having the ability to take it with me when I travel and never having to be without a second screen!

",5.0
75,"
Good monitor.
","

  Ordered this for business travel. Like the HDMI and USB-C connections instead of USB-A only connection. It’s a slim compact screen, easily fits in bag with larger computer, and travels well.Only issue is the USB-C power connection. Although there are 2 connections, the power connection is a little loose on both ports.I like the monitor, the ease of carry and set up, so I’ll be easy around the cords.

",4.0
76,"
Why did I wait so long to buy this???
","

  I use multiple monitors when working on the computer. When I travel or had to work someplace other than my office, it was frustrating to work on just the single monitor. This is a game changer - now I can travel and not worry about being able to efficiently work when needed. I wish I had bought this years ago...

",5.0
77,"
Good portable screen!
","

  Have only been able to use a few times so far but please with its performance and sound. Have a gaming laptop so I prefer my own speakers however the screens is a good alternative. Picture quality is excellent and doesn’t appear to have any heating problems from what I could tell.

",5.0
78,"
Great monitor, worth the extra few bucks
","

  Really like this monitor, based on the product description and reviews I didn’t think it would work for me. I have a MacBook Air 2011 but with the hdmi to lightening connector it works fine. This one comes with everything you need. Since I wasn’t sure if it would work, only ordered two monitors to compare and this one was much brighter and had a better picture quality. I use it everyday for at least nine hours and so far so good. Can’t wait to travel with it.

",5.0
79,"
Business use GAME CHANGER
","

  I am pleasantly surprised with this dual screen. As an accountant I have to go to client’s offices with my laptop. Previously, client office visits left me with a to do list to complete after I leave because I need the dual screen in order to work. This dual screen is a game charger. I love it. I’ve ordered 4 now. When my staff and I were evacuated due to a wildfire these screens allowed us to continue work.

",5.0
80,"
Absolutely terrible.
","

  The screen doesn’t work with the USB port alone. You need to connect the screen to a power source and another cable to your laptop (if you’re using for work purposes).Not only is that already an inconvenience, when I plugged my monitor as directed, the screen flickers continuously with their logo “KYY”. Shortly after, if I’m lucky, I’ll say “no signal”Save yourself the money and get a credited brand or spend a little extra on a better device. The worst ever and I’m so glad Amazon prime allows free returns!

",1.0
81,"
Good picture quality. Adjustable brightness
","

  I bought 2 so I could have 3 screens for my laptop. Very happy I did because the picture quality is excellent. Of course it’s not the 4K of my laptop but I didn’t expect it to be. Perfect for my different programs and good enough to use for video and games.The brightness is adjustable unlike some others I was looking at.

",5.0
82,"
Great value portable monitor - great for working on the road - or as part of a home office
","

  I ended up using a friend's portable monitor during a business trip - when I needed a 2 monitor setup for some data crunching and really found it handy to have a second screen on the road.  I recently found this KYY monitor and ended up swapping out one of my home office monitors with the KYY.Great value, good size - perfect fit with my home office setup - which I can now take with me on travel!

",5.0
83,"
Screen Dead in less than a month - update
","

  The monitor is heavier than ASUS 3.0 MB168.  The screen broke in a month.  Not worth the money.Update 10/25/2021:Customer service contacted me and send me a replacement.  It works well so far.  Change to 4 stars for the customer service and working replacement model.

",4.0
84,"
Update: Amazing customer service and willing to help
","

  Update: company reached out and emailed me personally apologizing about the defected product and shipped me a new one immediately. So far so good. And customer service went above and beyond.1st Review: Stopped working randomly. That’s a major red flag for me. Sent it back for refund.

",5.0
85,"
This lightweight, portable monitor works perfectly.
","

  My first experience was plugging it in with the included USB C to USB C cable directly to my phone.  It Lit right up and worked flawlessly.  I then tried it on my Laptop via the included HDMI to HDMI mini cable that is included.  Since HDMI does not bring power, I had to power it with the 5v 2a brick and USB A to USB C which were also included.  Again, lit right up and worked as intended.  I cannot wait to take this with me on business trips to have a second monitor!!

",5.0
86,"
Worked great... now won't work.. stuck in power saving mode?
","

  This monitor worked great... until it was just out of the product support eligibility period (6 months later). Now the monitor turns on, then says ""Power saving"" and stops working.

",1.0
87,"
Great for remote work
","

  I bought this to use as a second monitor for remote work. I was very pleasantly surprised with how clear the picture was on this monitor, especially considering the reasonable price compared to others I had been researching. The only downside (which I knew when purchasing in the first place) is the monitor view adjustment angles are limited. For long term second monitor use, I would recommend something that has a fully adjustable angle of display (so it would match the same angle as my laptop). But this has been absolutely perfect as a mobile option for remote work from home when traveling short term!

",5.0
88,"
Excellent portable second screen
","

  Working from home during COVID has been a real struggle -- with all the kids around, I'm picking up and moving my laptop all over the place, and never had the ability to reliably use the same place. So I was lugging an old dell monitor around my house, wires dangling all over the place, and more than once really struggling to keep it in my arms at once.With this new portable monitor, it's like my office moves with me. I can fold up the screen, grab the cords with my laptop, and work from anywhere in the house with both monitors. The sound quality is good and the screen resolution works excellently. I hope to pick up a second one to do three screens in the very near future.

",5.0
89,"
Terrible product shipped completely broken
","

  Came completely broken without functioning screen. Colors were blurred, but maybe because of the cracked and broken screen. It appears as though one corner was peeled up and away and no idea how that would happen without someone noticing as it came packaged with wrap, in a screen cover and case.

",1.0
90,"
Best Portable Monitor
","

  This is the best portable monitor. The company also has very good support. My original monitor came broken (the LED screen is sensitive, so please be careful) and they replaced it immediately no questions asked.As for gaming, this monitor is truly incredible and has clear image. It obviously isn't as good as my MSI, but this monitor is as good as a portable one is going to get and it is stunning. I personally use it as a second monitor to view my stream chat/OBS while I'm streaming. I highly recommend.

",5.0
91,"
Awesome travel companion
","

  I got this referral From a friend and I already love it ! I travel a lot so this comes in huge handy because I always need 2 monitors for my job. Can’t wait to take it on many adventures and not have to worry about not being able to do my job properly

",5.0
92,"
Compact and Efficient
","

  I travel a lot for work and needed an extra screen. This fits in my laptop bag with my laptop, and works great. I stopped using the Thunderbolt/USB-C connector and started using the HDMI port to send signal and powering it with a USB to Thunderbolt cable. Even though it *can* work with just a single Thunderbolt cable, both sending the signal and receiving power from your computer, I've had the most consistent success when sending signal over HDMI and powering from a separate cable sending power through the USB-C port. The magnetic cover works great for both protecting, and for propping up the monitor. Great product overall!

",5.0
93,"
Perfect for discord while I'm gaming
","

  I never have much desk space and frequently need to switch windows out of games to view discord content. NOT ANYMORE!!!! Paired with a small stand, it becomes the perfect discord companion wife someone who who doesn't usually have space for a second monitor. The best part it that is is powered off of my existing tower Via USB C and plugs right into my graphics card. It also comes with a good amount of cables and a screen protector. Can't wait to take it on hikes to look at my photos because the picture looks better that my 4k monitor most of the time.

",5.0
94,"
Perfect size portable monitor.
","

  Exactly what I was looking for to help with online gaming. The perfect size, portable, easy to use, and it comes with everything you need to start using it, right out of the box. The screen was much brighter than expected as well and the display is crisp. My husband liked mine so much, he bought one for himself.

",5.0
95,"
Nice quality, bright portable screen
","

  Screen is crisp and bright for a portable monitor, the case is also high quality and looks attractive. Another good thing is that the screen seems to operate with very low power as I can run it directly from a USB port on my Raspberry Pi 4 (your mileage may vary). The only small issues I have are that the USB C power and data ports are too close together and labeled confusingly, and there is a tiny bit of backlight bleed near the bottom but overall nice product.

",5.0
96,"
Very thin and compact portable display with HD quality! Highly recommended!
","

  This an amazing portable display that's about the thickness of a Microsoft Surface tablet. The screen has a large 16:9 widescreen ratio perfect for watching movies. The display produces a high definition image quality and fast refresh speed.I use this portable monitor to edit videos and photos using my Macbook Pro when traveling to different client sites. It connects via the supplied HDMI or USB C cable and powered by a USB power adapter that is also supplied. The display is well packaged and also comes with Grey a Smart Cover similar to that of an Apple Ipad.  Highly recommend this display if you need a portable second monitor! Very thin and compact and very portable.

",5.0
97,"
Works well, I'm very happy with my first portable monitor
","

  So far, very happy w/ the monitor until I did a closer inspection and found some damage.  It happens, so I'm returning the monitor for replacement.UPDATE: on closer inspection, this appears to have been some glue along the edge that I was able to remove after working at it with my fingernail.  Very happy that I made this purchase.

",4.0
98,"
This little monitor packs a punch, all its missing is happiness touch!
","

  I use this as a second monitor to my laptop, when I am mobile. It is super bright, connects to my laptop AND phone and it is powered by either via it's USB C port. It comes with a second cord for power, but amazingly have never needed it!

",5.0
99,"
This is a GREAT monitor!!
","

  This monitor is liberating! I bought a PC-box computer (about 4""x4""), and the monitor makes it feel like I am using a regular sized desktop but without all of that wasted space. It fires up quickly and has excellent visual quality. Highly recommended!

",5.0
100,"
Returned Item
","

  This screen would not work without blinking constantly, regardless of how I connected to the laptop (USBC or HDMI). I had to return the item as it would not work for me.

",1.0
101,"
Truly Great Monitor!
","

  Since I have been working from home, I miss my dual monitors in my office. So, I decided to purchase a portable monitor to go pair with my laptop. I thought I had made the right choice with a well know brand which will remain nameless. Boy was I wrong. After my initial mistake I decided to go with the KYY and I can honestly say this is a great product. Where I could never get my first choice to connect to my laptop, the KYY worked the first time I hooked it up. Picture is great almost better than my laptop. I would definitely recommend it!

",5.0
102,"
Awesome unit to add additional screen space
","

  Great product!!  non-reflective screen, portable, can use 1 wire for power and A/V signal (USB-C to USB-C on laptop), easy to use.  Allows me to be portable with my laptop, still having the convenience of having a screen extension.  If your laptop doesn't have USB-C, there is a Micro HDMI to HDMI provided cable as well, and you'll have to power the unit with the USB-C to USB power cable (to either a electrical outlet or a portable power bank).  Really cool to pull this out of my backpack when I'm away from office or home.

",5.0
103,"
Portable and works well!
","

  So far I’m obsessed with this portable monitor. It’s bigger than my norma screen and has been great for remoire work when I need to get out of the house/travel but can’t scarified them second screen. I hope this holds up!!

",5.0
104,"
EXCELLENT second monitor
","

  I had a more permanent second montior, and it took up a ton of desk space. I wanted something with a smaller footprint. This has been a perfect solution. I love it! Now my kids are begging me to get a second one that they can use with their Switch.

",5.0
105,"
witch Switch！
","

  Not bad with switch. The resolution is just right to match the switch. The size is also good. You can take witch switch out to play when you travel. There is no electricity . The monitor doesn't have an internal battery，The workmanship is also good. Only 770g is very thin. Worthy of the price $149. There are $20 discounts

",5.0
106,"
Works Great as a second monitor!
","

  Was skeptical at first but after reading many reviews i chose to go with this one! works great, its light weight, comes with all necessary cables, screen protector kit and magnetic cover case/stand..nice quality, minimalist design..im using two monitor clips on mine and it fits perfectly, i just went into my laptops display setting to switch the orientation to portrait and zoomed in on the letters a little and its good to go!! only thing is i have to go in and manually turn up the brightness every time i turn it on..also tried it on the ps4 and it looks great, images goes to the very edge of screen!! Thank you for a great productd!!

",5.0
107,"
Doesnt work on a Linux system
","

  Despite their assurances this doesnt work on my linux laptop.  It doesnt pick up a hdmi or usbc signal. Works on an older laptop using windows but i want to use it on my new linux laptop running linux mint 20.1.

",2.0
108,"
Great Dual Monitor
","

  I'm so glad my husband found this portable monitor for me.  It's such a sleek and attractive looking mointor, beautiful quality, and I can work from anywhere with access to a dual monitor.  It is easy to connect and very transportable to go anywhere I go.  I really like this monitor and would recommend it to others.

",5.0
109,"
Very useful and reliable
","

  I got this as I wanted a secondary display to be able to move around the house when working from home and not get stuck just at my office desk setup. This monitor is light weight, so easily portable. Nice display.I mainly got this for the warranty. Though the package it comes with states a 12 month warranty which itself is great, the Q&A sections mentions 3 years warranty which is awesome.Also I did upgrade the stand to a metal one for more durability but the smart cover will come handy when travelling. Overall very useful and reliable.

",5.0
110,"
This little monitor is great!
","

  I really like this little monitor. It's big and bright, and using a single USB-C cable for both image and power is really convenient. The smartcover/""stand"" is a little finnicky but it works! I haven't had the thing fall over or get knocked off the desk. For the price I don't know how you can go wrong.

",5.0
111,"
Great item and it comes with all the possible cords too!!!
","

  I LOOOOOOVE this product! (No, this is not a paid review!) I love that it comes with all the different cords, giving you plenty of options to connect. The case is sturdy and protective and really great! I strongly recommend!!!

",5.0
112,"
Great for Online Classes
","

  I'm in medical school and decided to invest in another monitor to help with all my online schooling. I love this monitor! Love that its portable so I can post up wherever when I have classes. Great for studying and taking notes during classes. Good picture quality, lots of additional settings to improve the picture quality to your liking, all the cord included for you (I did however need to get an additional converter because I have an older Mac). I wish the volume was a little louder, but if you have the sound project through your laptop or headphones it's no big deal.

",5.0
113,"
Great purchase.
","

  Loved it as soon as it came out of the box! It comes with a hdmi to hdmi mini and a c to c cord. It connects easily. The picture is good. It needs a better stand, but it that is easily remedied. I have been using it as a second monitor to my laptop and I have been using it with my switch :)

",5.0
114,"
Fantastic portable monitor
","


            Your browser does not support HTML5 video.
        


   I absolutely love this monitor! With Covid I've been working from home and this has been a life saver. It's lightweight and easy to travel with. There's a great blue light option which really helps with my headaches. I'd highly recommend this!

",5.0
115,"
Very nice monitor
","

  1st one I received was used missing parts and had handprints that wouldn't come off. I thought, maybe I got a refurbished one. I contacted Amazon and they had me a new by the next day.

",5.0
116,"
Great Product... A+++++++
","

  Pros:*Great screen image. 1080P FHD, 178° viewing angles bring me an excellent experience! HDMI ports guarantee the input is high quality.* Inbuilt dual stereo speakers sound not bad! I used it when I use my phone to look at news/videos.* Light and has its own case.* Plug and play capability, no drivers requiredcons:The only one you can bluetooth sound to an external drive... cant seem to get the ausio to go to my speakers.Overall, I love this monitor!

",5.0
117,"
An all around solid portable second screen
","

  I bought this with the intention of using it on the go, since I am remotely working. It is heavier than I expected but pretty thin and a great size for a second screen while working. It definitely makes my work more efficient - the only downside is that there are a decent amount of cords but I'm sure you can find a workaround for that. Would overall recommend this product!

",4.0
118,"
Easy to setup
","

  Easy to setup with a beautiful bold screen. Includes everything you need to connect your new screen to the device of choice.I highly recommend this product. I use it to extend my laptop screen.

",5.0
119,"
Great monitor and great support!
","

  This has been a great monitor for me for the last six months. Recently, I connect to a laptop for work and I accidentally swapped connection cables and could not get a signal and reached out for support. Daisy at KYY was very responsive and patient and helped me resolve the issue. I would definitely buy again from the company!

",5.0
120,"
Bright, beautiful, and portable.
","

  The brightness is incredible. Use it as a portable secondary screen for my laptop. Runs great with just usb C connected to laptop. The cover and stand works great for what it is. I love this screen!! Don’t leave home without it.

",5.0
121,"
Wonderful second monitor! Perfect for students.
","

  I loved that this monitor included a case and the right cords. Its awesome that you can use it with a USB C to charge/transmit data or if that's not an option on your device, the good old stand by of USB/HDMI. I have a 2-1 laptop that I fold flat and place the second screen on so I can write notes on the computer screen for school while having a second screen for the recorded lecture. This is a game changer!

",5.0
122,"
Does the Job Well
","

  I have had this for about a month and used it as a monitor for my portable mini PC. It works exactly as expected. The colors are good. The included magnetic stand works well, and the speakers were a nice addition in a pinch. I have also used it as a terminal output for my headless server when having network issues.

",5.0
123,"
Screen cracked on second use
","

  I picked up the screen to use for the second time, stacked my laptop and charger on top, and heard a soft crack. Screen was completely ruined - there was no impact just some light pressure from the laptop. I assume If something is portable it should hold up to being moved and carried around!!!

",1.0
124,"
Perfect Travel Screen - No internal battery
","

  The screen is perfect for traveling. The magnetic case is a perfect stand.  Screen brightness is not adjustable but its more than you need.My one big takeaway is that the screen may not have it's own battery for independent use but you can plug the power cabke directly into your laptop by USB and it works great.Update: there werent many instructions but to change brightness and volume, they use the same toggle. And to pick what you are changing, just press the power button once quickly.

",5.0
125,"
I like it!
","

  I like this screen alot for its price. I think it well worth the money. If I had to gripe it would be the fact that the brightness keeps defaulting once the screen is off. I woiud recommend it.

",5.0
126,"
Fragile!
","

  I barely got to use this product. I traveled with it once - given that the whole concept is that its meant to be portable, this was disappointingly fragile. The monitor is already showing broken colors when it turns on/i cant seem to figure out the power supply.

",1.0
127,"
The Best Portable Monitor! Light Weight, Picture, Thin, Sleek. Perfect!
","

  I use two of these monitors side by side with my laptop for investment platforms. They function perfectly, the quality is impressive along with the functionality. There is nothing in this purchase that I didn't  like. The installation and connections were a snap. One, two, three and your all done, plug in and play!

",5.0
128,"
Wow - this is an impressive little monitor.
","

  Wow - this is a great portable monitor. When opening the box I was surprised with how large this screen it. 15.6” is bigger than I thought. The colors look great and the screen is bright. This is perfect as a side monitor to my laptop to allow me to multi-task on two screens. Everything needed came packaged in the box including an impressive screen cover / display stand.

",5.0
129,"
Great Customer Service
","

  I got this monitor to work with my work laptop, which is a Macbook Pro. It worked perfectly for the first week and then I had connection issues and kept seeing 'no signal' no matter which connection I used. I reached out to the customer service team expressing my frustration and they didn't hesitate to send me a brand new monitor, which is awesome. Definitely recommend the monitor, and don't hesitate to reach out to CS if you have any issues!

",4.0
130,"
works great as advertised
","

  This portable monitor works great.  I work at home using my laptop a lot.  With this portable monitor, I can now have an extended FHD screen anywhere I go in the house.  Setup is easy especially I can use a portable power bank to power the monitor for hours.  No need to even plug into the wall.  The monitor is bright and sharp with FHD resolution.  Well worth the money especially I got it from lightning deal.

",5.0
131,"
Portable & Easy to Use
","

  Comes with all of the cords necessary to get it set up and running right away. Doesn't need to be plugged into an additional power source when I have it plugged into my laptop, which I like (so I only need 1 cord when using, unless I want to additionally charge my laptop at the same time). The magnetic stand is a little tough to navigate, but figured it out eventually. Same with the screen settings toggler (for brightness, etc). No issues so far. Been using for 2+ months now.

",5.0
132,"
Love it
","

  Needed a second screen for work but didn't want to buy a computer monitor. Works perfectly, clear screen and vivid. EXTREMELY lightweight. I love that it came with a flip cover (like the one you would get for an iPad) that helps it stand up and it stays there.

",5.0
133,"
Work productively anywhere
","

  This monitor was exactly what I was looking for. Having two monitors, my laptop monitor plus this portable monitor, enables coding/writing/working in coffee shops, airports, and any other space a makeshift office. One thing to note is that you will still need a nearby plug unless you're connecting using USB-c and performing a very very short task. Brightness on this monitor is plenty unless you're performing graphics/color-based work, but for normal tasks, it is more than adequate.

",5.0
134,"
Works as advertised.
","

  Great monitor that comes with all the cords needed to use. It also comes with a screen protector. That was a freebie as I didn’t know I was getting it. I couldn’t get the screen protector to attach correctly but still giving 5 stars as I wasn’t expecting to get one. The color is much better than any other travel monitor I have seen and the cover will protect it at all times while still making a great useable stand.

",5.0
135,"
Just what I needed
","

  I was looking for a portable monitor to connect to my work laptop and this worked out perfectly.  I used the usb to connect to my Lenovo laptop which also powered the monitor. Good quality resolution and quickly recognizes my laptop to extend the view.  Perfect for working remotely on the go.

",5.0
136,"
Really amazing little device
","

  The screen offers as promised. The brightness is on point, the image is super clear and it offers all you can expect from a portable screen. The only thing that you need to fix is when activating HDR, you need to adjust the color scheme to have it fully functional. Aside from that, I also had a tiny issue with the HDMI but it was just the cable after all. Nothing that a 7 bucks Amazon mini HDMI to HDMI cannot solve.Great customer support and a really recommended product.

",5.0
137,"
Just right!
","

  Got this portable monitor for travel and to take with me to places such as the library as things are opening back up. It's a good size and looks great. I like that I only need the one USB C to C cable but it's nice to have the other options if necessary. Also, the screen protector that came with it is a nice addition.The protective case is a nice addition but a little awkward to use when it comes to using it for a stand. Overall, so far, so good.

",5.0
138,"
Good product
","

  I bought this a couple of days ago and I am very pleased with it screen so far. The picture quality is fantastic on it. I just want to note that this product does not have an internal battery, so if you plan to take it on the go, you will need a power source like a power bank. Aside from that, I love all the accessories it came with as the beautiful packaging!

",5.0
139,"
Perfect for WFH Life
","

  This product has quickly become a life saver - I work in finance and can easily store the monitor in my backpack with my laptop and have dual-screens everywhere I go.  From airport bars to my friends living room, this has totally changed the flexibility of my ""work space.""  Would highly recommend to anyone looking for a portable monitor.

",5.0
140,"
Conversation starter!
","

  You will be the popular guy in the meeting with this beauty! Perfect size, great picture and flexibility. Definitely a good purchase on all counts.

",5.0
